,Дата і час публікації,Текст повідомлення,Наратив,"Канал, який поширив повідомлення"
398,2022-04-08 11:58:39,"Зачем Украине нужна ""вторая Буча"" в Краматорске. Очередная провокация ВСУ со смертью мирных жителей и ракетой ""Точка-У"" Очередной удар баллистической ракетой по своим территориям осуществлён ВСУ. Появляющиеся из Краматорска кадры позволяют однозначно определить по форме рулей управления ракеты, что был использован комплекс ""Точка-У"", не используемой в военной операции на Украине ВС РФ. Украинские власти решили повторить успешный кейс Бучи, только теперь уже на той территории Донецкой области, которая пока ещё не занята силами ДНР. Очевидно, что расчет сейчас на усиление давление Запада и новый виток санкций - на этот раз в преддверии операции на Донбассе. Это уже не первый удар по мирным жителям с помощью подобного комплекса, ранее украинские военные применяли его против Донецка. При этом украинская сторона уже разгоняет тезис, о том, что это была российская ракета ""Искандера"". Кроме того, в качестве цели был выбран ЖД-вокзал, для того, чтобы сорвать эвакуацию из города и использовать мирных жителей как живой щит. Всё по методичке Арестовича. Последний пункт особенно важен - по сути, ВСУ делает все, чтобы не дать уйти населению из неподконтрольных нашим войскам городов ЛДНР. Вся военная тактика Украины сейчас сводится именно к тому, чтобы прятать технику и живую силу в жилых кварталах, любой другой сценарий - поражение ВСУ в кратчайшие сроки. О моральной составляющей и ответственности перед собственным населением официальный Киев уже не думает.",Отвлечение внимания,https://t.me/readovkaru
539,2022-04-08 12:12:01,"Украинцы сообщают, что по вокзалу Краматорска попала баллистическая ракета 9М79-1 ОТРК ""Точка-У"". Обвиняют Россию. Теперь вопрос поставки танков и БМП из Германии и других европейских стран на Украину сдвинется с места. ",Получение оружия от Запада,https://t.me/madam_secretar
624,2022-04-08 12:20:08,"Очередной фотофакт использования украинской ракеты ТРК ""Точка-У"" при ударе по гражданской инфраструктуре в Краматорске, который привёл к огромным потерям среди мирного населения.",Политическое давление,https://t.me/ags_donbass
809,2022-04-08 12:42:58,"Смысл чудовищной провокации в Краматорске сводится к четырем факторам: Первый и самый очевидный. Нужен истероидный информационный фон под визит фон дер Ляйн и заявление Штайнмайера о трибунале над Путиным (такое ""алеверды"" нашей ""партии мира""). Второе. Несколько менее очевидное. Превратить беженцев в тероборону. Ну, хоть как-то массовкой замедлить продвижение наших. Третье. Не очевидное, но очень важное. Уйти максимально быстро и вверх по лестнице эскалации от ""Бучи 1"", которая явно не просто ""не зашла"", но начала выходить ""боком"". Зря что ли фоточки из баз данных стали убирать? Четвёртое. И это только моё предположение в отличие от первых трех пунктов. Создать ""политический обменный фонд"" для торговли с Россией по поводу ""уважаемых людей"" из подвалов ""Азовстали"". Которые пока, похоже, все ещё там. Мы отдаём им ""людей"", они говорят, что типа случайно получилось. Но исполнители в условиях цейтнота уже совсем ""поплыли"". Даже коммуникации не согласовали. А на ""подпевках"" в Москве все меньше и меньше друзей....",Мобилизация населения,https://t.me/dimonundmir
843,2022-04-08 12:45:56,"Смысл чудовищной провокации в Краматорске сводится к четырем факторам: Первый и самый очевидный. Нужен истероидный информационный фон под визит фон дер Ляйн и заявление Штайнмайера о трибунале над Путиным (такое ""алеверды"" нашей ""партии мира""). Второе. Несколько менее очевидное. Превратить беженцев в тероборону. Ну, хоть как-то массовкой замедлить продвижение наших. Третье. Не очевидное, но очень важное. Уйти максимально быстро и вверх по лестнице эскалации от ""Бучи 1"", которая явно не просто ""не зашла"", но начала выходить ""боком"". Зря что ли форточки из баз данных стали убирать? Четвёртое. И это только моё предположение в отличие от первых трех пунктов. Создать ""политический обменный фонд"" для торговли с Россией по поводу ""уважаемых людей"" из подвалов ""Азовстали"". Которые пока, похоже, все ещё там. Мы отдаём им ""людей"", они говорят, что типа случайно получилось. Но исполнители в условиях цейтнота уже совсем ""поплыли"". А на ""подпевках"" в Москве все меньше и меньше друзей....",Эскалация конфликта,https://t.me/avatkov
843,2022-04-08 12:45:56,"Смысл чудовищной провокации в Краматорске сводится к четырем факторам: Первый и самый очевидный. Нужен истероидный информационный фон под визит фон дер Ляйн и заявление Штайнмайера о трибунале над Путиным (такое ""алеверды"" нашей ""партии мира""). Второе. Несколько менее очевидное. Превратить беженцев в тероборону. Ну, хоть как-то массовкой замедлить продвижение наших. Третье. Не очевидное, но очень важное. Уйти максимально быстро и вверх по лестнице эскалации от ""Бучи 1"", которая явно не просто ""не зашла"", но начала выходить ""боком"". Зря что ли форточки из баз данных стали убирать? Четвёртое. И это только моё предположение в отличие от первых трех пунктов. Создать ""политический обменный фонд"" для торговли с Россией по поводу ""уважаемых людей"" из подвалов ""Азовстали"". Которые пока, похоже, все ещё там. Мы отдаём им ""людей"", они говорят, что типа случайно получилось. Но исполнители в условиях цейтнота уже совсем ""поплыли"". А на ""подпевках"" в Москве все меньше и меньше друзей....",Создание фона для переговоров,https://t.me/avatkov
978,2022-04-08 13:01:46,"Именно в районе Краматорска стоят десять установок Точек-У ВСУ. Эту информацию лично мне передавали мирные жители с этого города. Вполне вероятно, что ракета была выпущена с окраин Крамоторска. Ракета могла быть сбита ПВО над городом или же, как и всё в ВСУ, установка, как и боеприпас были не обслужены и ракета взорвалась, не долетев до цели( в нашу сторону) ВСУ каждый день по несколько штук с того направления запускает эти ракеты. Благо, наше ПВО их сбивают. На видео небольшая часть ракет данного комплекса, которые были сбиты в небе над ДНР.",Для легитимизации ударов по РФ,https://t.me/rtrdonetsk
1073,2022-04-08 13:15:45,"Ракеты ПВО, выпущенные с территории ДНР сегодня утром, работали по целям в воздухе, но украинская пропаганда использует это для дезинформации по трагедии в Краматорске Показательный момент: в проукраинских ресурсах сегодня распространилась информация о запуске ПВО по целям в воздухе в территории, контролируемой ДНР (город Шахтерск). На видео видно парный пуск ракет, траектория и активное маневрирование их после старта подтверждают работу ЗРК по воздушной цели, а не ракет класса ""земля-земля"". Однако киевские пропагандисты стали использовать это видео как доказательство того, что ""Точки У"" были выпущены с нашей территории, а не соединениями ВСУ. Тот факт, что это не правдоподобно, видимо, местных умельцев совсем не интересует. Главное — нагнетать и обвинить Россию. Отметим, что в обстреле собственного мирного населения есть циничная тактика ВСУ. Замедлить или вовсе остановить выход гражданского населения из городов — их единственный шанс остановить продвижение ВС РФ в предстоящей битве за Донбасс.",Затянуть продвижение российских войск,https://t.me/swodki
1441,2022-04-08 14:16:28,"А знаете, почему именно Краматорск? В первую очередь, потому что 2014-й не забыли. Потому что в городе, несмотря на 8 лет жесточайшей украинизации и рагулизации, все равно были те, кто ждал освобождения и возвращения к нормальной жизни в составе ДНР. И вот именно за это именно Краматорск и был сегодня атакован, хотя эвакуация идёт и в других городах. Но Украина не забыла весну 2014-го. И не простила. А сегодня отомстила. Твари.",Месть,https://t.me/vityzeva
1612,2022-04-08 14:48:01,"Зеленский выступил с обращением к правительству Финляндии. Основное: Российские ""оккупанты"" ударили по простому железнодорожному вокзалу в Краматорске – ""вот так Россия пришла защищать украинский Донбасс."" Никто из пленных не смог объяснить, зачем они пришли к нам с особой жестокостью – в плен сдаётся меньшинство, большинство продолжает воевать, так что часто думаешь: ""Это люди вообще?"". Вчера ""оккупанты"" ударили из ""Градов"" по трём детям и 11 взрослым посреди Каховского водохранилища, люди пытались убежать. Ненависть против других народов ""воспитывается в России прямо сейчас"", причем на государственном уровне. Должны ли отвечать за смерти украинцев и те, кто убивает украинцев, и те, кто заставляет ждать? Нужен санкционный коктейль, который запомнится как ""коктейль Молотова"" – нужно ввести эмбарго на поставку энергоресурсов из России. Мир – это одинаковая ценность для всех. Война – это одинаковое зло для всех. (Поэтому Зеленский и просит у Запада оружие)",Защита территорий,https://t.me/ukraina_ru
1891,2022-04-08 16:56:53,"Обратите внимание, как незначительными, казалось бы, деталями, западные сценаристы создают нужный эмоциональный фон. И, словно, карточные шулера, подменяют факты этими эмоциями. Надпись на ракете, ударившей по вокзалу в Краматорске на русском языке ""За детей"", призвана убедить, что ее якобы выпустили именно русские. Хотя такая надпись не доказывает ровно ничего, а создать ее можно за две минуты в расположении любой украинской части. Это ровно тоже самое, как и еврейское происхождение Зеленского, которое просто самим ""этническим фактором"" якобы доказывает отсутствие нацизма на Украине. Одни сценаристы, методы одни и те же. Аппеляция к эмоциям, в попытке отключить мозг получающего информацию.",Психологическое давление,https://t.me/nstarikovru
2142,2022-04-08 19:23:19,"Все те, кто сегодня поставляют оружие украинскому террористическому режиму, становятся прямыми соучастниками тех преступлений, свидетелями которых мы сегодня являемся! И они должны на ровне с режимом Зеленского нести ответственность. Убийство гражданских лиц в Краматорске - ещё одно подтверждение террора, который устроил Зеленский по отношению к украинцам. Америка, Канада, Австрия, Чехия, Словакия - страны пособники терроризму и нацизму, который с их помощью процветает в Украине.",Устрашение мирного населения,https://t.me/the_kyva
2175,2022-04-08 19:38:51,"Заявление МИД России в связи с обстрелом Краматорска украинской стороной. 8 апреля украинскими вооруженными формированиями было совершено очередное военное преступление - нанесён удар тактической ракетой ""Точка-У"" по железнодорожному вокзалу. Сообщается о десятках погибших и более сотни раненых. Выражаем глубокие соболезнования родным и близким погибших. Объект обстрела был выбран неслучайно - киевский режим стремится к максимальным жертвам среди мирных жителей. Их убийство в Донбассе за прошедшие восемь лет стало привычной практикой для украинских вооруженных формирований. Хладнокровно уничтожая гражданское население, Киев пытается переложить ответственность на российскую сторону, чтобы дискредитировать специальную военную операцию по защите ДНР и ЛНР. * * * Призываем международное сообщество дать объективную оценку преступлениям украинских формирований, прекратить поставки им вооружений и побудить Киев к отказу от недопустимых методов ведения боевых действий.",Дискредитация СВО,https://t.me/svo_zov_22
2407,2022-04-08 21:29:31,"В ответ на мой стандартный текст ""почему хохлы совершают военные преступления"" о Краматорске украинцы выдали ""развеивание фейка"". Привожу текст: ""Пропагандист Владислав Угольный написал, будто так Украина хотела ""сорвать эвакуацию"" (которую сама проводит) и ""прикрыться мирными жителями"". Сообщения на его канале появилось в 11:50. Интересно, что он ссылается на сообщение в российском Телеграмм-канале Сolonelcassad (канал пропагандиста Бориса Рожина, более 500 тыс. аудитории) с превью которого мы видим текст ""Официальные власти заявляют об ударе двумя ""Искандерами"" по вокзалу” и фото с места событий, однако сам пост на канале уже удален"" Итак, ссылаюсь я не на г-на Рожина, а на его репост Рыбаря. Потому что Рыбарь у меня не открывается т.к. он заблокирован для тг-аккаунтов, зарегистрированных на симкарту с кодом +380, включая Феникс. У Рожина просто отображаются репосты с Рыбаря, вот и всё, не он его автор, украинские ""фактчекеры"" Данный пост Рыбарем не удалён. Борис Рожин репост действительно удалил. Почему? Сделаю предположение: чтобы украинские леминги из интернет армии не заспамили жалобами пост с фотками русских, погибших во время украинского обстрела Краматорска. Теперь что до мотивации. Проводимая вами эвакуация — лишь прикрытие для переброски военной техники по железной дороге. Вы специально по одним и тем же путям гоните эвакуированных и гоните военную технику и снабжение. Русская армия точечно калибрует военные цели на ЖД. Для вас это катастрофа. Поэтому вы заявляете, мол жд — гуманитарная цель, её трогать нельзя. И устраиваете провокацию чтобы вынудить россиян приостановить бомбежку военных целей на ЖД. Вот такая вот ваша украинская ублюдочная логика. Я всю свою жизнь жил рядом с вами и хорошо вас изучил. Ради прикрытия переброски войск по ЖД вы и нанесли этот удар. Далее украинцы врут про то, что Точки У вылетели из контролируемого ДНР Шахтерска в Краматорск не позднее 10:25 — когда в сети об этом сведения появились в открытых источниках. Сведения об обстреле вокзала появились в 10:44. Ракеты из Шахтерска до Краматорска 19 минут пешком шли? Вот такая вот борьба с фейками украинского образца. Ссылка на украинский высер вот. Желающие могут посмеяться с лемингов.",Принуждение к отказу от обстрела ЖД (для переброски войск),https://t.me/zola_of_renovation
2490,2022-04-09 00:42:33,"""Кровавый сериал"" будет продолжаться! Колониальные британские технологи вместе с податливыми и продажными КВНщиками из Квартала Зеленского в качестве подмастерьев, продолжат демонстрировать всему миру ""кровавый сериал"" войны на Украине. Неделю назад была серия ""Буча"", сегодня - ""Краматорск"", где будет новое кровавое действо?! Что это будет? Химическая атака? Обстрел толпы из РСЗО? Подрыв моста с эвакуационным поездом? Из ""сериальной практики"" новый эпизод нужен через 3-7 дней, чтобы сохранить ажиотаж, поддерживать интерес Запада и подкармливать внутреннюю ненависть народную доводя ее до массовой истерии. Набором эпизодов ""сериала"" международные продюсеры создают нужный фон антироссийской истерики для принятия международных решений, выделения дополнительных военных, явных и тайных бюджетов и мобилизации населения, у которых роль статистов в данном шоу - их убивают для картинки, ими прикрывают боевые единицы от обстрелов. Для населения, которое не впало ещё в окончательный транс нужно максимально избегать массовых скоплений людей. Не вылезать из укрытий. Передвигаться на освобождённые территории только если уверены в безопасности пути. А нам нужно быстрее завершать разгром украинского режима. Только победа позволит провести трибунал и предъявить миру истинных виновных в организации ""кровавого сериала"".",Получение финансирования от Запада,https://t.me/miroshnik_r
2579,2022-04-09 10:52:30,"Немного аналитики по теме вчерашней провокации в Краматорске и советы гражданскому населению Украины. При эвакуации из зоны боевых действий или предполагаемых боевых действий соблюдайте меры предосторожности. Не появляйтесь в местах массового скопления людей. Ни в коем случае не оставайтесь рядом с местами скопления военной техники и личного состава воинских подразделений. Покидайте город небольшими группами и желательно на автомобилях. Сейчас укрорейх активно перебрасывает свои войска жд транспортом с Запада на Юго - Восток. Чтобы не стать жертвой очередной кровавой провокации на вроде той, которая произошла вчера - избегайте эвакуации жд транспортом. Украинская преступная власть специально использует подобные провокации для того, чтобы прикрыть свою переброску войск. Даже здесь они умудрились прикрыться гражданским населением. После удара высокоточным ракетным оружием ВС РФ по ЛОЗОВОЙ, в результате не погиб ни один гражданский человек. После этого удара, поняв всю опасность своего положения и уязвимость, укрорейх пошёл на беспрецедентный шаг - объявил о проведении эвакуации из Краматорска и цинично нанёс удар по скоплению людей касетным боеприпасом, для того, чтобы обвинить в этом Россию, поднять резонанс и таким образом заставить Россию отказаться от нанесения ударов по железнодорожным коммуникациям укрорейха, который будет спокойно перебрасывать свои войска для решающего сражения на Донбассе. Хочу особо отметить, Российские ВС не применяют кассетные боеприпасы для поражения военных объектов укрорейха, так как это нецелесообразно, потому как касетный боеприпас не наносит нужного эффекта, в отличии от фугасных. Ракетный удар наносится с целью уничтожить инфраструктуру или военную технику. Кассетные боеприпасы для этого не подходят, так как основная их задача поражение живой силы. Ещё раз повторю - ВС РФ использует для подобных ударов только высокоточное оружие, именно поэтому в Лозовой состав с военной техникой ВСУ был уничтожен, а жертв среди гражданского населения нет. Вооружённые силы России и впредь будут уничтожать военную технику украинских нацистов где бы они не находились, в том числе и на жд путях. Но делаться это как и прежде будет с учётом всех факторов, главным из которых будет безопасность гражданского населения. Делайте выводы и принимайте благоразумные решения. P. S. Советую всем гражданским как можно скорее покинуть Славянск, Краматорск и другие города из этой агломерации.",Принуждение к отказу от обстрела ЖД,https://t.me/notes_veterans
2603,2022-04-09 11:38:52,"Накачка страстей по украинскому кейсу ведётся усиленно в последние дни. Причиной тому является готовящаяся пресс конференция Минобороны РФ, на которой будут показаны инструкторы по ведению городского боя с тактикой живого щита из гражданских лиц, кем являются действующие сотрудники ЦАХАЛа из Израиля ( чьё спасение безуспешно в Шаббат прилетал обсуждать Бенет ), действующие старшие офицеры французской военной разведки, которые обучали применению современных противотанковых комплексов, контрбатарейных систем и аэроразведки с коптеров, сотрудники BND, специализирующиеся на контрразведовательном обеспечении фронтовой и прифронтовой зоны, а так же спецов из британской SIS. Для противовеса атомному сценарию развития событий в западном обществе и происходит нынешняя истерия по Буче, Краматорску и четыре планируемых хим.атаки в Черниговской и Сумской областях. В офисе Зеленского кейс ударов по своим и постановки для западных сми курирует лично Андрей Ермак, указания он получает от офицеров МИ 6, кто обеспечивает охрану Зеленского, контрразведку внутри его ставки и связь с мировыми лидерами по закрытым спутниковым каналам. Пророссийское крыло украинских олигархов, приславшее в Москву своих эмиссаров на этой неделе, активно предлагали выкупить военных ЦАХАЛа, однако получили отказ. Верхушка Моссада же наоборот жаждет публичного расследования и последующего смещения латентного коллабораната Бенета, всячески подогревая внутреннюю обстановку в самом Израиле, в частности в кейсе терактов. Борьба за кейс Мариупольских пленников ведётся в мировом масштабе и именно этим объясняется уверенная молчаливая позиция главного актора из Кремля, для чего и запущен процесс унылого антинародного визга Пескова, что бы прогреть ядерный электорат перед историческим заявлением президента, по итогам 100% зачистки Мариуполя и в предверии старта ""варки"" донбасского котла.",Противовес атомному сценарию,https://t.me/barantchik
2619,2022-04-09 12:52:24,"Главное, что следует накрепко осознать по итогам вчерашнего преступления укров в Краматорске, столь же кровавого, сколь и бездарно исполненного в смысле перевода стрелки на нас: Запад подтвердил готовность с чавканьем жрать абсолютно любые фейки, каким бы отрицательным ни было их правдоподобие. И выводов отсюда два. Первый, непосредственный: крайне высока вероятность, что безобразные кровавые провокации со стороны укров сейчас пойдут непрерывным потоком. Заготовок на этот счет, готовых к исполнению в любой момент, уже оглашено минимум три: массовые обстрелы еще не освобожденных городов Донбасса, подрыв одной из дамб на Днепре с демонстрацией обломков ""Калибра"" и минирование резервуаров с опасной химией в Авдеевке (и это только по тем предупреждениям нашей стороны о вскрытых планах укров, что попадались мне на глаза). Цель - если не снести крышу хозяевам до готовности вовлечься войсками, то по крайней мере выпросить тяжелое оружие и новые санкции, самоубийственные для хозяев. И продолжаться эта возгонка будет по меньшей мере до тех пор, пока хозяева не ощутят прямой и явной угрозы от нее непосредственно для себя. Второй, более широкий: все кровавые провокации в прошлом и будущем совершаются с ведома и одобрения хозяев укров. Это говорит не только о демонстрируемом ими запредельном уровне подлости, но и о том, насколько высоки ставки не только для нас, но и для них. И в этом смысле очень маловероятно, что противостояние с Западом может иметь неопределенный исход или хотя бы заморозиться: продолжаться оно будет до решительного результата, то есть глубокого и долговременного изменения баланса сил. И по этому поводу еще раз повторю, что исход будет зависеть буквально от каждого. Карты на нашей руке более чем пристойные, и чудес нам совершать не надо, а надо спокойно и грамотно их разыграть. Каждому на своем месте, в части, зависящей лично от себя.",Вовлечение Запада в активный конфликт,https://t.me/karaulny
3493,2022-04-11 12:52:06,"Пушилин: Сейчас с учетом всех факторов, которые обусловлены сложной ситуацией, в которой находятся люди, также провокационными мероприятиями со стороны украинского режима, включая обстрел Краматорска, мы считаем необходимым ход освободительной операции интенсифицировать.",Для победы,https://t.me/materikmedia
