,Дата і час публікації,Текст повідомлення,Наратив,"Канал, який поширив повідомлення"
1495,2022-04-08 14:30:08,"Минутка реалий. Есть такая горькая американская шутка: ""1) Чëрная женщина изобрела телескоп. 2) Вы можете не соглашаться с этим утверждением. У вас могут быть даже аргументы против него. 3) Но подумайте: стоит ли это того, чтобы потерять работу и быть отменëнным в сетях и лишиться банковского счëта? 4) Чëрная женщина изобрела телескоп"". Мы в гораздо более горькой шутке, ув. друзья. Система аргументов гораздо короче. ""1) Погибли люди. Это Россия их убила. 2) Вы же не за Россию? 3) Россия убила людей"". Мы вторглись в Германию в 45-м, мы сбросили бомбу на Хиросиму, мы жгли Вьетнам, мы, видимо, даже уничтожили Ирак с Югославией. Сейчас не будет никакого злодейства, в котором нашей вины не признают тут же. Потому что никто не хочет терять работу и банковский счëт, а сказка про объективность демократических СМИ была сказкой для отсталых детей и российской интеллектуальной элиты всегда. Во время захвата заложников на Норд-Осте я был в штаб-квартире НАТО в Брюсселе, в качестве корреспондента ныне покойной латвийской газеты. Я видел, как у телеэкрана с прямым эфиром CNN толпились натовские чиновники и как подошëл сам тогдашний генсек Робертсон. И они ВСЕ были оживлены и веселы. Нам нет смысла ждать от них ничего человеческого. И дело не в том, что они не люди - дело в том, что мы для них не. Поэтому единственный аргумент, который на них действует - это не щекотка усами, а сила и страх.",Вьетнам,https://t.me/medvedevvesti
1495,2022-04-08 14:30:08,"Минутка реалий. Есть такая горькая американская шутка: ""1) Чëрная женщина изобрела телескоп. 2) Вы можете не соглашаться с этим утверждением. У вас могут быть даже аргументы против него. 3) Но подумайте: стоит ли это того, чтобы потерять работу и быть отменëнным в сетях и лишиться банковского счëта? 4) Чëрная женщина изобрела телескоп"". Мы в гораздо более горькой шутке, ув. друзья. Система аргументов гораздо короче. ""1) Погибли люди. Это Россия их убила. 2) Вы же не за Россию? 3) Россия убила людей"". Мы вторглись в Германию в 45-м, мы сбросили бомбу на Хиросиму, мы жгли Вьетнам, мы, видимо, даже уничтожили Ирак с Югославией. Сейчас не будет никакого злодейства, в котором нашей вины не признают тут же. Потому что никто не хочет терять работу и банковский счëт, а сказка про объективность демократических СМИ была сказкой для отсталых детей и российской интеллектуальной элиты всегда. Во время захвата заложников на Норд-Осте я был в штаб-квартире НАТО в Брюсселе, в качестве корреспондента ныне покойной латвийской газеты. Я видел, как у телеэкрана с прямым эфиром CNN толпились натовские чиновники и как подошëл сам тогдашний генсек Робертсон. И они ВСЕ были оживлены и веселы. Нам нет смысла ждать от них ничего человеческого. И дело не в том, что они не люди - дело в том, что мы для них не. Поэтому единственный аргумент, который на них действует - это не щекотка усами, а сила и страх.",Эпос ВОВ,https://t.me/medvedevvesti
1495,2022-04-08 14:30:08,"Минутка реалий. Есть такая горькая американская шутка: ""1) Чëрная женщина изобрела телескоп. 2) Вы можете не соглашаться с этим утверждением. У вас могут быть даже аргументы против него. 3) Но подумайте: стоит ли это того, чтобы потерять работу и быть отменëнным в сетях и лишиться банковского счëта? 4) Чëрная женщина изобрела телескоп"". Мы в гораздо более горькой шутке, ув. друзья. Система аргументов гораздо короче. ""1) Погибли люди. Это Россия их убила. 2) Вы же не за Россию? 3) Россия убила людей"". Мы вторглись в Германию в 45-м, мы сбросили бомбу на Хиросиму, мы жгли Вьетнам, мы, видимо, даже уничтожили Ирак с Югославией. Сейчас не будет никакого злодейства, в котором нашей вины не признают тут же. Потому что никто не хочет терять работу и банковский счëт, а сказка про объективность демократических СМИ была сказкой для отсталых детей и российской интеллектуальной элиты всегда. Во время захвата заложников на Норд-Осте я был в штаб-квартире НАТО в Брюсселе, в качестве корреспондента ныне покойной латвийской газеты. Я видел, как у телеэкрана с прямым эфиром CNN толпились натовские чиновники и как подошëл сам тогдашний генсек Робертсон. И они ВСЕ были оживлены и веселы. Нам нет смысла ждать от них ничего человеческого. И дело не в том, что они не люди - дело в том, что мы для них не. Поэтому единственный аргумент, который на них действует - это не щекотка усами, а сила и страх.",Хиросима,https://t.me/medvedevvesti
1674,2022-04-08 15:03:46,"После фейка с Бучей стоило ждать от Украины и ее кураторов новых попыток очернить образ России. Новый кейс не заставил себя ждать: по вокзальной площади Краматорска ударили тактической ракетой ""Точка У"". Сообщается, что погибло около 30 человек. Новость моментально начали тиражировать Зеленский и Арестович, обвиняя Россию в трагедии. Версия Киева, впрочем, шита белыми нитками: в Краматорск прилетел не российский ""Искандер"", как это заявляет Украина, а именно ""Точка У"", которая давно списана с вооружения у России, но активно используется ВСУ. Один из самых печальных примеров ее использования мы прекрасно помним – удар по центру Донецка 14 марта, жертвами которого стали десятки мирных жителей. Удар по Краматорску был осуществлен предположительно из Доброполья, то есть с позиций ВСУ. Депутат Верховной Рады Илья Кива утверждает, что удар по вокзалу Краматорска был совершен, чтоб затруднить эвакуацию граждан из этого города. Версия вполне логичная, за последние недели Киев неоднократно доказывал, что жители Донбасса интересуют его исключительно в качестве живого щита. Однако мы также рассмотрели бы и другую версию. На днях киевское правительство разрешило передачу ракетных комплексов, в т.ч. тяжелых систем т.н. ""силам территориальной самообороны"", т.е. практически необученному фольксштурму. Кроме того, в стране полным ходом идет мобилизация и в армию гребут практически всех. Вполне возможно, что удар был нанесен новоукомплектованным экипажем, который слабо понимает, как обращаться с мощным вооружением. К тому же, точность никогда не была сильной стороной украинских артиллеристов, достаточно вспомнить сбитый в 2001-м над Крымом Ту-154, летевший из Израиля в Россию. В любом случай, вооруженные силы Украины сейчас представляют из себя обезьяну с гранатой и представляют большую угрозу мирным жителям, чем российским военным.","Ту-154 ""Cибирь""",https://t.me/maester
1721,2022-04-08 15:30:00,"Корнилов убежден, что Запад ""не увидит"" удара ВСУ по Краматорску Кулебу уже давным-давно никто не слушает, указывает российский и донецкий политолог, историк и журналист Владимир Корнилов. ""Аутентичность видеозаписей, на которых украинские боевики пытают и убивают российских военнопленных, уже подтверждена практически всеми СМИ. Если Юлиан Репке из Bild, известный своими русофобскими взглядами и New York Times, которая также известна своей позицией по отношению к России, подтвердили аутентичность видеозаписей, о чем тут можно говорить? — Кулеба может только констатировать этот факт, ему никуда не деться от этого"", — комментирует он заявление главы МИД Украины. Ранее Дмитрий Кулеба признал, что украинские военные могут нарушать правила ведения войны. ""Я не видел этого, я хочу заверить вас, что украинская армия соблюдает правила ведения войны. Конечно, могут быть изолированные инциденты нарушения этих правил"", — сказал он. Вместе с тем, как указывает собеседник ""Свободной прессы"", Запад смотрит преступления украинской военщины сквозь пальцы: ""Буквально вчера генсек НАТО Йенс Столтенберг заявил, что он не видел этих кадров. То есть, Бучу он почему-то видит — ведь там можно обвинять Россию. А там, где кадры явно указывают на военные преступления украинского режима — этого он не видит. И не будет видеть. Потому, естественно, Кулебу он тоже не услышит, в чем бы тот не признавался"". По мнению политолога, вновь повторяется ситуация 2014−2015 годов: ""Тогда на Западе так же ""не видели"" преступлений батальона ""Торнадо""* - казней и внесудебных расправ, совершаемых в Донбассе, которые подтверждены даже украинскими органами правопорядка и судами. Уверен, что ""не заметит"" он и страшного удара ""Точкой-У"" по железнодорожному вокзалу Краматорска, от которого, по предварительным данным, погибли 30 человек, а количество пострадавших — более сотни"". ""Что вы думаете, — Украину наказали, или накажут за эти преступления? Кто-то потребовал санкций, лишил ее какого-то звания, титула, или членства в каком-нибудь совете? — Да ну, Господи, о чем вы говорите. И в этом весь Запад"", — подчеркивает Владимир Корнилов.","преступления батальона ""Торнадо""",https://t.me/svpressaru
1753,2022-04-08 15:45:47,"Что же произошло в Краматорске? Тут возможны две версии. Первая – сознательная провокация, в результате которой Украина просто убила своих граждан, чтобы свалить вину на Россию и усилить давления на Москву со стороны Запада. Надо понимать, что для большей части Украины жители Краматорска, голосовавшие в 2014 году, как и весь Донбасс, на референдуме за независимость от Киева, чужие, их не жалко. Как не жалко и погибших 14 марта в Донецке. Вторая – это некондиционный боеприпас, который был направлен на объект российских войск, но сбился с курса. Как это было с украинской ракетой, сбившей в свое время на учениях пассажирский самолет над Черным морем. Как это было с украинской ракетой, которая, опять же на учениях, влетела в дом под Киевом. Как это было, в конце концов, с националистами в Буче, которые, потеряв контроль, расстреливали всех мирных жителей, рискнувших выйти на улицу с белыми повязками (это опознавательный знак россиян, но местные тоже начали его носить для безопасности). А когда пришла пора отвечать за смерти невинных, просто спихнули все на Россию. Сейчас происходит то же самое, что и в Буче. С военной точки зрения удар по гражданскому вокзалу не имеет никакой тактической пользы. Вернее, польза только Киеву - удар ракетой срывает эвакуацию людей, оставляя их в Краматорске как ""живой щит"" для украинских войск. И Россию снова можно обвинить в гибели мирных граждан, что добавит Москве санкций, а Киеву - оружия. Это тактика Киева – затягивать продвижение российских войск кровавыми провокациями и санкциями. Именно поэтому мы, наверняка, не увидим данные спутникового контроля США, которые наверняка фиксировали пуск ""Точки У"". Как не увидели до сих пор и снимков места старта ракеты ""Бука"", которая в 2014 году сбила Боинг над Донбассом. Правда сейчас США и Украине слишком невыгодна. Моя колонка целиком ",Дом профсоюзов,https://t.me/army_russia
2591,2022-04-09 11:11:34,"По итогу убийств в Буче, расстрела мирных жителей Донецка и даже Краматорска, находящегося на не занятой нашими войсками территории, хаотичной стрельбы по населенным пунктам Донбасса, в том числе вчера из ""Града"" по Ясиноватой, можно сделать вывод, что руководители Украины и военные не имеют сколько-нибудь серьезных планов достичь перемирия. В Краматорске им было важнее создать для западной аудитории картинку снаряда с надписью на хвостовой части ""за детей"" на русском языке, пожертвовав жизнями десятков мирных жителей, оказавшихся в тот момент на привокзальной площади и готовившихся эвакуироваться. Каждый день да через день заниматься враньем, как учил Геббельс-Арестович, готовить очередную ""пробирку Пауэлла"", убивать ни в чем ни повинных мирных жителей - это все, чему укронацисты научились у дикого Запада. И как договариваться с людьми, которые врут как дышат?",Ирак,https://t.me/sil0viki
2667,2022-04-09 15:08:54,"До этого на Донбассе засветились украинские ракеты Ш91565, Ш91566. Та же серия что в Краматорске, отличия - 13 единиц в серийнике. У вас будет свой отдельный Нюрнберг за это.",Нюрнберг,https://t.me/military_corner
3111,2022-04-09 23:20:30,"""Украина терпит поражение и потому использует тактику сирийских террористов — атакует гражданских и призывает к внешнему вмешательству"", — заявил Брайан Берлетик, геополитический аналитик и бывший военнослужащий Корпуса морской пехоты США об инциденте в Краматорске. ""Совершенно очевидно, что здесь происходит. Украина терпит поражение. И это именно то, что мы видели во время сирийского конфликта. Когда террористы, спонсируемые США, Британией и ЕС, были повержены, они делали нечто подобное. Они совершали нападение на гражданское население. И говорили, что это сделало сирийское правительство. А затем они призывали к вмешательству. Они призывали к новым санкциям. Так они поступали на протяжении всего конфликта, пока полностью не проиграли. И это то, что мы видим здесь, на Украине"". Видео от ",Сирия,https://t.me/solovievlive
3197,2022-04-10 09:44:15,"""Украина терпит поражение и потому использует тактику сирийских террористов — атакует гражданских и призывает к внешнему вмешательству"", — заявил Брайан Берлетик, геополитический аналитик и бывший военнослужащий Корпуса морской пехоты США об инциденте в Краматорске. ""Совершенно очевидно, что здесь происходит. Украина терпит поражение. И это именно то, что мы видели во время сирийского конфликта. Когда террористы, спонсируемые США, Британией и ЕС, были повержены, они делали нечто подобное. Они совершали нападение на гражданское население. И говорили, что это сделало сирийское правительство. А затем они призывали к вмешательству. Они призывали к новым санкциям. Так они поступали на протяжении всего конфликта, пока полностью не проиграли. И это то, что мы видим здесь, на Украине"". И что в этом удивительного? Будто бы в Афганистане или Сирии было иначе. Когда из подопечных США вырастали образцы морали и нравственности, рыцари без страха и упрёка? Всегда террористы, садисты и палачи без морали и принципов.",Афганистан,https://t.me/soldiers_truth
3411,2022-04-11 07:07:18,"Автором фото Reuters из Бучи был тот же самый фотограф Глеб Гаранич, который сдела постановочную фейковую фотосессию в Гори в 2008 году. Подлог, провокация и Гаранич - это давно слова-синонимы. Тот же самый Гаранич успешно оказался ив Краматорске. Via ",Гори,https://t.me/informburo_sfd
3595,2022-04-11 20:12:55,"В Одессе украинской стороной может готовиться провокация, чтобы обвинить Россию, заявил российский зампостпреда на заседании Совбеза ООН. В городе были замечены украинские военные, переодетые в российскую форму. С Бучей не прокатило. Краматорск вообще убрали из повестки. В третий раз Зелебобе как мальчику с волками никто не поверит. Людей очень жалко",Мальчик и волки,https://t.me/svo_zov_22
3621,2022-04-11 23:44:47,"Нужно бооольше ада. Все ж обратили внимание на то, что тема Краматорска затихла моментально. Ведь даже самый глупый и ограниченный украинский патриот задумался о том, что ""Точки У"" из противоборствующих сторон стоят только на вооружении ВСУ. Бучинский инцидент понемногу пытаются раздувать, но пламени как-то не выходит. По Ирпени ещё ничего не понятно, но странно закрывать город и вводить комендантский час на несколько дней. С нынешней тенденцией причины очевидны. И вот теперь снова вспомнили о Мариуполе. На этот раз химическое оружие и стоны от нацистов ""Азова"". А ведь ещё недавно вся медиа кампания Запада пыталась раскрутить темы городов под Киевом, Краматорск сразу же был отправлен куда подальше, а тут такая история, которую уже обкатали на других конфликтах, нужно только перенести по методичке на новые реалии. Это далеко не последняя провокация. Информационная война на нынешнем этапе конфликта крайне важна. Потому что это единственное действенное оружие в руках Киева и Запад. И на той стороне фронта это прекрасно понимаю, поэтому используют его на полную катушку. Нам же снова приходится просто реагировать. У нас инструментарий ограничен, так как в нашем арсенале только правда и факты, на той стороне - бесконечный потенциал, так как враньё может быть безграничным и порой абсолютно безнравственным. Денис Григорюк",Ирпень,https://t.me/swodki
3950,2022-04-14 00:59:01,Что же США назвали геноцидом? Корейская война Вьетнамская война Война НАТО с Югославией Война НАТО в Афганистане Война в Ираке Война НАТО за смену режима в Ливии Вечная война Израиля с Палестиной Война Саудовской Аравии с Йеменом Война Украины с Донбассом Спецоперация России на Украине,Война Саудовской Аравии с Йеменом,https://t.me/breege_time_20zz
3950,2022-04-14 00:59:01,Что же США назвали геноцидом? Корейская война Вьетнамская война Война НАТО с Югославией Война НАТО в Афганистане Война в Ираке Война НАТО за смену режима в Ливии Вечная война Израиля с Палестиной Война Саудовской Аравии с Йеменом Война Украины с Донбассом Спецоперация России на Украине,Война Израиля с Палестиной,https://t.me/breege_time_20zz
3950,2022-04-14 00:59:01,Что же США назвали геноцидом? Корейская война Вьетнамская война Война НАТО с Югославией Война НАТО в Афганистане Война в Ираке Война НАТО за смену режима в Ливии Вечная война Израиля с Палестиной Война Саудовской Аравии с Йеменом Война Украины с Донбассом Спецоперация России на Украине,Ливия,https://t.me/breege_time_20zz
3950,2022-04-14 00:59:01,Что же США назвали геноцидом? Корейская война Вьетнамская война Война НАТО с Югославией Война НАТО в Афганистане Война в Ираке Война НАТО за смену режима в Ливии Вечная война Израиля с Палестиной Война Саудовской Аравии с Йеменом Война Украины с Донбассом Спецоперация России на Украине,Корея,https://t.me/breege_time_20zz
4308,2022-04-17 14:51:02,"России отведена роль вершителя справедливости (Ольга Андреева специально для газеты ВЗГЛЯД) Особенности восприятия российским обществом спецоперации на Украине выглядят совершенно нетипично на фоне общего восприятия событий во всем мире. Психология нашего общества, его представления о добре и зле уходят корнями в исторический опыт и цивилизационный код русской культуры. ""Решилась! Рассея!"" – кричал лавочник Ферапонтов во время обороны Смоленска летом 1812 года. Эту фразу в мое время требовали подчеркнуть все школьные преподаватели литературы – именно она выражала дух и суть философии Льва Толстого в романе ""Война и мир"". Русские войска откатываются на восток, враг почти беспрепятственно идет вглубь страны – и вдруг… При обороне Смоленска происходит нечто переламывающее ход войны. Нет, это не победа. Смоленск сдан французам. Главное событие именно в этой фразе лавочника Ферапонтова, который выкидывает мешки с зерном из своей лавки в руки отступающим солдатам: ""Решилась! Рассея!"". С этого момента война, которая до сих пор была войной, идущей между властями двух европейских держав, становится народной. Что было дальше, наше поколение учило наизусть: ""Дубина народной войны поднялась со всей своей грозной и величественной силой и… гвоздила французов до тех пор, пока не погибло всё нашествие"". Это и есть то, что потом Хомяков и Бердяев назовут ""соборностью"" или, в интерпретации Сергея Хоружего, ""свободной социальностью"", противостоящей социальности ""принудительной"". Что это значит? И снова вспоминается Толстой. Наташа Ростова, которая во время эвакуации из Москвы сбрасывает с телег вещи, чтобы положить на них раненых, охвачена именно этим чувством – чувством добровольного внесословного единения с собственным народом. ""Русский по духу человек – это не тот, кто имеет определенный цвет кожи, этнические корни или цвет волос, – писал тот же Толстой. – Русский человек – это тот, кто не будет спать спокойно, если знает, что где-то есть несправедливость. Русский – это тот, кто будет искать правду-истину до конца, в каждой конкретной ситуации"". Более того, это чувство собственной русскости тогда и выходит на сцену, когда надо эту самую справедливость отстоять, защитить или заново переустановить. По сотням западных СМИ катятся бешеные информационные волны – русские якобы уничтожали мирное население Бучи, Краматорска, далее везде. Каждая подобная история служит только еще одним подтверждением правоты нашего гнева. Против нас выступают силы зла, чье главное орудие – отвратительная и подлая ложь. Это превращает войну на Украине в очередную битву с драконом, которую мы исторически выиграем.",Смоленск,https://t.me/vzglyad_ru
