,Дата і час публікації,Текст повідомлення,Наратив,"Канал, який поширив повідомлення"
436,2022-04-08 12:01:09,"Сообщается, что прилёт ""Точки-У"" по Краматорску был со стороны подконтрольных Украине территорий, вероятно, с юго-запада. Сам город сейчас тоже под контролем ВСУ и, вероятно, был выбран мишенью вследствие отсутствия в этом регионе российского ПВО. На сбитой ракета надпись — ""За детей"". Очевидно, что написать на ракете можно что угодно, тем более никаких сомнений в том, что украинцы умеют писать, знают русских язык и у них есть белая краска. Считаем удар и эту надпись срежиссированной провокацией со стороны Украины.",Россия не могла сбить своим ПВО,https://t.me/ssigny
495,2022-04-08 12:08:54,"Зеленский уже начал театр. Откуда-то у президента Украины кадры, которые ранее не появлялись нигде. Вероятно, на месте уже ждали репортёры, которые сделали снимки. И, конечно же, появилось видео, на котором мужчина рассказывает про убитых и покалеченных и надпись ""За детей"". Надпись на на русском языке на украинской ракете, выпущенной со стороны Украины никак не может доказывать причастность к удару по вокзалу Краматорска со стороны ВС РФ или ДНР. Также напомним, что Украина примеряла похожую тактику на протяжении 8 лет на Донбассе и Луганщине. Например, летом 2014 года был нанесён ракетный удар по автовокзалу в Луганске. Погибли десятки человек, в том числе и дети.",Сходство с обстрелом Донецка,https://t.me/ssigny
601,2022-04-08 12:16:57,"Обломок упавшей ракеты крупным планом. Вероятно, это фото не должно было появиться в Сети, поскольку на корню рубит фейк про удар ""русскими Искандерами"". И поэтому теперь украинская сторона спешно переобувается. Так, Зеленский уже заявил, что удар был нанесён не Искандерами, а ""российской Точкой-У"", при том, что данный комплекс является устаревшим и не применяется Русской Армией. ",Россия использует только высокоточное оружие,https://t.me/ags_donbass
686,2022-04-08 12:29:53,"Видео запуска украинских ""Точек-У"", ударивших по вокзалу в Краматорске UPD: На видео, предположительно, не пуск украинских ""Точек"", а работа российского ПВО, сбившего одну из ракет. Ракеты ПВО были выпущены из подконтрольного ДНР Шахтёрска.",Ракета сбита ПВО,https://t.me/ssigny
750,2022-04-08 12:35:42,"Кровавое шапито Зе&Со на фоне Бучи практически открытым текстом признавали, что уже готовят новые провокации. Они не заставили себя ждать. У подонков, для которых собственное население лишь пушечное мясо что в боевых действиях, что в инфовойне, руки развязаны полностью. Ничто не ограничивает. Тем более, что руки киевского решима в крови по локоть уже восемь лет. И в целом для укронаци разницы особой между Донецком и Краматорском нет. Кстати, о Донецке. Помните, перед ударом ‘Точкой-У’ сначала была смс-рассылка? С призывам придти в определенное место... именно то, куда прилетела потом ‘Точка-У’. Так вот, в Краматорске накануне также массово оповещали людей об эвакуации с ж/д вокзала, куда и прилетело потом. Почерк очевидный... Тёма в теме.",Обвинение украинских властей в возможном повторении,https://t.me/gardez66
978,2022-04-08 13:01:46,"Именно в районе Краматорска стоят десять установок Точек-У ВСУ. Эту информацию лично мне передавали мирные жители с этого города. Вполне вероятно, что ракета была выпущена с окраин Крамоторска. Ракета могла быть сбита ПВО над городом или же, как и всё в ВСУ, установка, как и боеприпас были не обслужены и ракета взорвалась, не долетев до цели( в нашу сторону) ВСУ каждый день по несколько штук с того направления запускает эти ракеты. Благо, наше ПВО их сбивают. На видео небольшая часть ракет данного комплекса, которые были сбиты в небе над ДНР.",Ошибка,https://t.me/rtrdonetsk
1065,2022-04-08 13:14:27,"Ракеты ПВО, выпущенные с территории ДНР сегодня утром, работали по целям в воздухе, но украинская пропаганда использует это для дезинформации по трагедии в Краматорске Показательный момент: в проукраинских ресурсах сегодня распространилась информация о запуске ПВО по целям в воздухе с территории, контролируемой ДНР (город Шахтерск). На видео видно парный пуск ракет, траектория и активное маневрирование их после старта подтверждают работу ЗРК по воздушной цели, а не ракет класса ""земля-земля"". Однако киевские пропагандисты стали использовать это видео как доказательство того, что ""Точки У"" были выпущены с нашей территории, а не соединениями ВСУ. Тот факт, что это не правдоподобно, видимо, местных умельцев совсем не интересует. Главное — нагнетать и обвинить Россию. Отметим, что в обстреле собственного мирного населения есть циничная тактика ВСУ. Замедлить или вовсе остановить выход гражданского населения из городов — их единственный шанс остановить продвижение ВС РФ в предстоящей битве за Донбасс.",Фейк: территория запуска контролируется ДНР (Россией),https://t.me/readovkanews
1065,2022-04-08 13:14:27,"Ракеты ПВО, выпущенные с территории ДНР сегодня утром, работали по целям в воздухе, но украинская пропаганда использует это для дезинформации по трагедии в Краматорске Показательный момент: в проукраинских ресурсах сегодня распространилась информация о запуске ПВО по целям в воздухе с территории, контролируемой ДНР (город Шахтерск). На видео видно парный пуск ракет, траектория и активное маневрирование их после старта подтверждают работу ЗРК по воздушной цели, а не ракет класса ""земля-земля"". Однако киевские пропагандисты стали использовать это видео как доказательство того, что ""Точки У"" были выпущены с нашей территории, а не соединениями ВСУ. Тот факт, что это не правдоподобно, видимо, местных умельцев совсем не интересует. Главное — нагнетать и обвинить Россию. Отметим, что в обстреле собственного мирного населения есть циничная тактика ВСУ. Замедлить или вовсе остановить выход гражданского населения из городов — их единственный шанс остановить продвижение ВС РФ в предстоящей битве за Донбасс.",Фейк: видео пуска,https://t.me/readovkanews
1068,2022-04-08 13:15:18,"Девочки, довольно мутная история с ракетой, которая сегодня упала в Краматорске, как сообщают, на мирных жителей. Это ""Точка-У"", которой нет на вооружении у ВС РФ. Ее хорошо видно на фото. Тут интересно, что падение этой ракеты сопровождалось дезой в российских телеграм-каналах. Как нам кажется, их могли намеренно развести для информационного сопровождения этого вброса. Работает ЦИПсО. Все хотят устроить вторую Бучу, да не могут. Этого не будет ни у Красильщика, ни в твиттере. Никто не поставит на свои аватарки чёрный флаг. Жителей Краматорска собирали на вокзале несколько дней перед ударом. ""Милитарист"" обращает внимание на тайминг удара.",Украина пыталась сокрыть важные детали,https://t.me/cyber_frontz
1141,2022-04-08 13:24:00,"Украинская сторона выдает видео пуска зенитных ракет в Шахтерске, расположенном к востоку от Донецка и, соответственно, к юго-востоку от Краматорска, за ""Точки-У"". Мы уже писали, что прилёт был с юго-запада. Об этом свидетельствует положение обломков на земле. Вернемся к видео: Маршевый двигатель ""Точки-У"" работает 22-23 секунды. На указанного видео работа маршевого двигателя гораздо меньше. Время подлета на максимальную дальность составляет 136 секунд. Воздушная тревога была объявлена в 10.30 Мск. Согласно метаданным, ролик из Шахтерска был записан в 9.22. Даже если предположить, что на конкретном устройстве выставлено время по GMT+2, время подлета ""Точки-У"" до цели на максимальном расстоянии — это 2 минуты 16 секунд. Ещё остается 5 с лишним минут только до объявления тревоги. Данное видео подтверждает факт работы ПВО ДНР по вражеским ""Точкам-У"" этим утром. #Донецк #Краматорск #Украина *Поддержать нас: 4377 7278 0407 7977","Время взрыва (подлета, пуска)",https://t.me/rybar
1204,2022-04-08 13:33:42,"#Краматорск Цензура в городе сверхжесткая, и показательных арестов хватает. Тем не менее, после сегодняшнего ужасного утра местные жители обсуждают ракету и её ""маршрут"". В сумме с ложью Киева об ""Искандере"" (который оказался ""Точкой-У"") картина вырисовывается очень неприятная. После Бучи на Банковой решили не снижать накал ненависти и шума. Заодно можно выбить больше вооружений и денег",Свидетельства украинских Telegram-каналов,https://t.me/denazi_ua
1297,2022-04-08 13:45:52,"По данным разведки Донецкой Народной Республики, украинские вооруженные формирования в ближайшее время планируют совершить массированные обстрелы из ""Градов"" и другого тяжелого вооружения жилых кварталов Краматорска, Славянска, Артемовска, возможно, Мариуполя и других населенных пунктов Донбасса, на данный момент еще подконтрольных Украине. Целью этого преступления является обвинение в обстрелах, разрушениях жилья и инфраструктуры, возможной гибели людей подразделений Республик и России. Убедительная просьба к жителям этих населенных пунктов укрыться в убежищах, предпринять все возможные меры безопасности, чтобы сохранить свою жизнь и здоровье. Мы считаем все население в границах бывшей Донецкой области нашими согражданами: вы голосовали в 2014 году за независимость Донецкой Народной Республики, и нам ценна каждая жизнь! Жестокость и циничность преступных приказов украинского режима мы испытали на себе. Поэтому повторяю: срочно примите максимально возможные меры безопасности!","Существуют подтверджение, что обстрел готовился",https://t.me/ags_donbass
1415,2022-04-08 14:06:45,"Эдуард Басурин в эфире #60минут сообщил, что ВСУ обстреляли Краматорск ‘Точкой-У’ с кассетными боеприпасами! Такой же ракетой был обстрелян центр Донецка 14 марта ‘Очередная провокация для картинки. Сработали кассеты, поэтому количество пострадавших и площадь поражения была очень большой. Тут же с украинской стороны было заявление, что это сделано РФ ‘Искандерами’. Но они не учли одного: что у людей есть огромное количество телефонов, на которые можно снять последствия. Они засняли остатки ‘Точки-У’ ‘Точка-У’ есть на вооружении только украинской армии. Больше не у кого! Я думаю, доказательная база будет предоставлена: откуда была пущена и разведданные скажут, кто именно написал кнопку ‘пуск’ ",Расположение и действия 19 бригады,https://t.me/kedmi
1729,2022-04-08 15:31:57,"Пока нет официальных данных по боевой части ракеты. А, учитывая, что ситуация на укронацистской стороне, правду мы узнаем только если проведем свой ""Нюрнберг"". Но по часто встречающимся предположениям с 2-х сторон - это был именно кассетный боеприпас. Я вот не помню, где за 1,5 месяца Россия использовала для уничтожения военных и военно-инфраструктурных объектов именно кассетную БЧ. Везде шла ставка на фугасность и бризантность. Именно по причине того, что цель - разрушение объекта, а не живая сила противника, если речь про близость городской застройки. Но. Я вот отлично помню и даже наблюдал лично недавний прилет кассетного боеприпаса ""Точки-У"" прямо по центру Донецка. Для максимизации жертв среди беззащитных гражданских. Где даже специально УкроИПсО провело провокацию, чтобы на площади под бывшей ОГА собралось как можно больше женщин, которую мы подробно разбирали. А дальше фото попадания Точкой-У по Донецку лживые укронацистские твари и западные СМИ выдавали за обстрелы Киева. А потом и Макеевка. И Мелитополь. А потом сбитая ""Точка-У"" в полях Луганщины с касетной БЧ. А вот укропы с гордостью показывают запуски. И еще много-много раз. Как нас учит принцип ""бритвы Оккама"" - не умножай сущностей сверх необходимого. Самая первая версия, учитывая вышесказанное - укронацисты.",Демонстрация запусков ракет Украиной,https://t.me/za_derjavy
1851,2022-04-08 16:39:47,"‼ Цель удара украинских властей по вокзалу в Краматорске: Срыв массового выезда жителей из города, чтобы использовать их в качестве живого щита для обороны позиций ВСУ. Телефоны, фотоаппараты, которые были у очевидцев, зафиксировали, что это остатки ""Точки-У"". Такое вооружение не ЛДНР, не Россия - не используют. Некоторые антироссийские интернет-газеты пытаются обвинить в ударе Россию. Они ссылаются на заявление BBC, что Точка-у могла отставатся на вооружении у России, и что какая-то команда якобы подтвердила что Точки У находятся на вооружении России. Сила V Правде - ",'Точка-У' не используется ЛДНР и Россией,https://t.me/borodavchenkoznaet
1901,2022-04-08 17:04:39,"‘Если его друзья- это Белоруссия, Северная Корея и Венесуэла, то это не та вечеринка, где я бы хотел присутствовать’ Бен Уолесс, министр обороны Британии, уже определил всех виновных в обстреле Краматорска. И, конечно же, по его мнению , это Путин. После этого, с его слов, Британия сделает всё, чтобы Путин потерпел на Украине неудачу. Уолесс считает, что союзников у России практически не осталось ‘Принципиально президент Путин прислушивается только к силе. В конце концов, он прислушается, когда месседж и правда дойдут до его народа, и он прислушается к последствиям того, что он сделална Украине. Он выслушает прислушается к санкциям. Где сейчас российская экономика? Где сейчас рубль? Где его друзья? Если его друзья это Белоруссия, Северная Корея и Венесуэла, то это не вечеринка, где я хотел бы присутствовать. Это не такая уж и стоящая дружественная группа. И я думаю, что его больше не стоит провоцировать. Его можно сдержать , и мы можем помочь Украине победить его и отбросить его армию’ ",Свидетельства Западных официальных лиц,https://t.me/kedmi
3233,2022-04-10 12:41:59,"Это уже не сомнительный по эффективности ""Старстрик"". Это современный универсальный ракетный комплекс ""Мартлет"", поставленный англичанами в ВСУ. Похоже, англичане решили вложиться в украинскую войну ""по полной"", и останавливаться не собираются.","Использование ""Мартлет"" ВСУ",https://t.me/solovievlive
3779,2022-04-13 11:38:00,"Батюшки, зрада-то какая! Би-Би-Си открытым текстом заявляет, что массовое убийство на вокзале в Краматорске совершила Украина. Либо Би-Би-Си взломали, либо украинское враньё достало даже их.",Доказательства от BBC,https://t.me/dtlive
4184,2022-04-15 21:33:07,Для имитации удара якобы со стороны подконтрольной Вооруженным Силам России и формированиям Донецкой Народной Республики территории пуск ракет будет осуществлен со стороны населенного пункта Старомихайловка - Мизинцев,Имитация удара с территории России,https://t.me/zvezdanews
